feature,family,PC1,PC2,PC3,PC4,PC5,PC6,communality_top1,communality_top2,communality_top3,communality_top4,communality_top5,communality_top6
PB9_T3,PB9,-0.0734,-0.007764,0.003578,-0.003313,0.004994,0.004541,0.988377,0.99361,0.994437,0.994969,0.995929,0.996464
PB9_T4,PB9,-0.0734,-0.007764,0.003578,-0.003313,0.004994,0.004541,0.988377,0.99361,0.994437,0.994969,0.995929,0.996464
PB9_T5,PB9,-0.0734,-0.007764,0.003578,-0.003313,0.004994,0.004541,0.988377,0.99361,0.994437,0.994969,0.995929,0.996464
PB9_T6,PB9,-0.0734,-0.007764,0.003578,-0.003313,0.004994,0.004541,0.988377,0.99361,0.994437,0.994969,0.995929,0.996464
PB9_T7,PB9,-0.0734,-0.007764,0.003578,-0.003313,0.004994,0.004541,0.988377,0.99361,0.994437,0.994969,0.995929,0.996464
PB9_T8,PB9,-0.0734,-0.007764,0.003578,-0.003313,0.004994,0.004541,0.988377,0.99361,0.994437,0.994969,0.995929,0.996464
PB9_T9,PB9,-0.0734,-0.007764,0.003578,-0.003313,0.004994,0.004541,0.988377,0.99361,0.994437,0.994969,0.995929,0.996464
PB9_T10,PB9,-0.0734,-0.007764,0.003578,-0.003313,0.004994,0.004541,0.988377,0.99361,0.994437,0.994969,0.995929,0.996464
PB9_T11,PB9,-0.0734,-0.007764,0.003578,-0.003313,0.004994,0.004541,0.988377,0.99361,0.994437,0.994969,0.995929,0.996464
PB9_T12,PB9,-0.0734,-0.007764,0.003578,-0.003313,0.004994,0.004541,0.988377,0.99361,0.994437,0.994969,0.995929,0.996464
PB10_T1,PB10,-0.073385,-0.008131,0.003352,-0.003705,0.004344,0.004731,0.987968,0.993707,0.994433,0.995099,0.995825,0.996406
PB10_T2,PB10,-0.073369,-0.008467,0.003229,-0.003957,0.003856,0.004857,0.987539,0.993763,0.994436,0.995195,0.995767,0.996379
PB10_T3,PB10,-0.073315,-0.009437,0.002965,-0.004602,0.002932,0.005038,0.986083,0.993813,0.994382,0.995408,0.995739,0.996398
PB10_T4,PB10,-0.073245,-0.010469,0.002703,-0.00534,0.00247,0.005097,0.984195,0.993709,0.994181,0.995564,0.995799,0.996473
PB10_T5,PB10,-0.073182,-0.011246,0.002499,-0.005964,0.002416,0.005057,0.982511,0.99349,0.993894,0.995618,0.995843,0.996507
PB10_T6,PB10,-0.073125,-0.011855,0.002321,-0.006515,0.002581,0.004956,0.980983,0.993184,0.993532,0.99559,0.995847,0.996484
PB10_T7,PB10,-0.072818,-0.014318,0.001447,-0.009075,0.004399,0.004492,0.972765,0.990563,0.990699,0.994691,0.995436,0.995959
PB10_T8,PB10,-0.072371,-0.016733,0.000323,-0.012372,0.007426,0.003856,0.960841,0.985147,0.985154,0.992574,0.994697,0.995083
PB10_T9,PB10,-0.071972,-0.0183,-0.000527,-0.014887,0.009824,0.003064,0.950285,0.979358,0.979376,0.99012,0.993835,0.994079
PB10_T10,PB10,-0.071271,-0.020235,-0.00192,-0.018616,0.013072,0.001917,0.931877,0.967422,0.967661,0.98446,0.991037,0.991132
PB10_T11,PB10,-0.070937,-0.020891,-0.002534,-0.020164,0.014169,0.001348,0.92315,0.961039,0.961454,0.981163,0.98889,0.988938
PB10_T12,PB10,-0.068933,-0.023188,-0.005618,-0.027088,0.016716,-0.001662,0.871726,0.918404,0.920443,0.956014,0.966769,0.966841
PB11_T1,PB11,-0.073392,-0.007926,0.003928,-0.002664,0.004631,0.004565,0.988167,0.99362,0.994617,0.994961,0.995787,0.996327
PB11_T2,PB11,-0.073382,-0.008126,0.004185,-0.002183,0.004318,0.004571,0.987879,0.993611,0.994743,0.994974,0.995692,0.996234
PB11_T3,PB11,-0.07334,-0.008794,0.00483,-0.00099,0.003778,0.004445,0.986751,0.993464,0.994972,0.995019,0.995568,0.996081
PB11_T4,PB11,-0.073279,-0.009581,0.005474,0.000175,0.003664,0.004171,0.985101,0.993071,0.995007,0.995008,0.995525,0.995976
PB11_T5,PB11,-0.07322,-0.010205,0.00595,0.001032,0.003914,0.003918,0.983519,0.992559,0.994846,0.994898,0.995487,0.995886
PB11_T6,PB11,-0.073164,-0.010698,0.006317,0.001686,0.004356,0.003734,0.982026,0.991962,0.99454,0.994678,0.995408,0.99577
PB11_T7,PB11,-0.072867,-0.012599,0.007769,0.004221,0.007664,0.003186,0.974066,0.987845,0.991744,0.992608,0.994869,0.995132
PB11_T8,PB11,-0.072397,-0.014563,0.009262,0.006819,0.012774,0.00316,0.961531,0.979942,0.985483,0.987738,0.994019,0.994278
PB11_T9,PB11,-0.071967,-0.015838,0.010199,0.008557,0.016788,0.003843,0.950153,0.971929,0.978648,0.982198,0.993046,0.993429
PB11_T10,PB11,-0.071179,-0.017463,0.011298,0.010665,0.022534,0.005648,0.929468,0.955942,0.964188,0.969702,0.989247,0.990074
PB11_T11,PB11,-0.070807,-0.018057,0.011689,0.011412,0.024603,0.006413,0.91976,0.948065,0.956892,0.963205,0.986503,0.98757
PB11_T12,PB11,-0.06876,-0.019268,0.013573,0.015127,0.031291,0.010131,0.867363,0.899594,0.911496,0.922588,0.960275,0.962939
PB12_T1,PB12,-0.002352,0.040063,-0.009369,-0.01957,0.077783,-0.016651,0.001014,0.140357,0.146028,0.164594,0.397464,0.404658
PB12_T2,PB12,-0.003169,0.050157,-0.011805,-0.022244,0.083674,-0.01553,0.001842,0.220242,0.229245,0.253231,0.522714,0.528972
PB12_T3,PB12,-0.005039,0.06564,-0.014723,-0.02302,0.071406,-0.007419,0.004657,0.378699,0.392702,0.418391,0.614645,0.616073
PB12_T4,PB12,-0.006696,0.072945,-0.015492,-0.020325,0.047934,0.000123,0.008227,0.470152,0.485656,0.505682,0.59412,0.594121
PB12_T5,PB12,-0.007856,0.075167,-0.015092,-0.017178,0.027973,0.004991,0.011321,0.501827,0.516541,0.530845,0.560963,0.561609
PB12_T6,PB12,-0.008758,0.07513,-0.014155,-0.014065,0.011069,0.008007,0.01407,0.504086,0.51703,0.526619,0.531335,0.532998
PB12_T7,PB12,-0.012617,0.073099,-0.011389,-0.005286,-0.040173,0.012492,0.029206,0.493091,0.501471,0.502825,0.564944,0.568993
PB12_T8,PB12,-0.016755,0.068024,-0.00821,0.001282,-0.071902,0.010239,0.051499,0.45321,0.457564,0.457644,0.656634,0.659354
PB12_T9,PB12,-0.019933,0.064058,-0.006345,0.004335,-0.081849,0.007413,0.072894,0.429127,0.431727,0.432638,0.690493,0.691919
PB12_T10,PB12,-0.024657,0.056125,-0.002047,0.010375,-0.084222,0.001413,0.111538,0.384998,0.385268,0.390486,0.66351,0.663561
PB12_T11,PB12,-0.026426,0.052653,-0.000715,0.012097,-0.081633,0.00068,0.128114,0.368792,0.368825,0.375919,0.632417,0.632429
PB12_T12,PB12,-0.035261,0.035505,0.003098,0.014103,-0.059862,-0.000202,0.228096,0.337533,0.338153,0.347795,0.485724,0.485725
PB13_T1,PB13,-0.002352,0.040063,-0.00937,-0.019572,0.077782,-0.016651,0.001015,0.140355,0.146027,0.164597,0.397463,0.404656
PB13_T2,PB13,-0.003169,0.050157,-0.011805,-0.022247,0.083673,-0.01553,0.001843,0.220238,0.229242,0.253234,0.522712,0.52897
PB13_T3,PB13,-0.005039,0.06564,-0.014722,-0.023023,0.071406,-0.007422,0.004659,0.3787,0.392702,0.418398,0.61465,0.61608
PB13_T4,PB13,-0.006697,0.072946,-0.015489,-0.020326,0.047937,0.000115,0.008229,0.470174,0.485674,0.505701,0.594148,0.594149
PB13_T5,PB13,-0.007857,0.075171,-0.015089,-0.017177,0.027977,0.004978,0.011325,0.501877,0.516585,0.530888,0.561015,0.561658
PB13_T6,PB13,-0.00876,0.075135,-0.014152,-0.014064,0.011073,0.007989,0.014077,0.504158,0.517096,0.526685,0.531404,0.53306
PB13_T7,PB13,-0.012623,0.073104,-0.011383,-0.005278,-0.040171,0.012462,0.029232,0.493181,0.501551,0.502902,0.565012,0.569042
PB13_T8,PB13,-0.016764,0.068033,-0.008203,0.001295,-0.071904,0.0102,0.051558,0.453372,0.457719,0.4578,0.6568,0.659499
PB13_T9,PB13,-0.019944,0.064067,-0.006342,0.004341,-0.081853,0.007374,0.072972,0.4293,0.431898,0.432811,0.690693,0.692103
PB13_T10,PB13,-0.024671,0.056128,-0.002052,0.010367,-0.084227,0.001378,0.111659,0.385152,0.385424,0.390633,0.663691,0.66374
PB13_T11,PB13,-0.026442,0.052652,-0.000723,0.012082,-0.081639,0.000646,0.128271,0.36894,0.368974,0.376051,0.632582,0.632593
PB13_T12,PB13,-0.035292,0.035493,0.003088,0.01408,-0.059857,-0.000221,0.228495,0.33786,0.338476,0.348086,0.485992,0.485993
PB14_T1,PB14,-0.002262,0.036156,-0.008457,-0.016746,0.074677,-0.01492,0.000939,0.114429,0.11905,0.132644,0.34729,0.353066
PB14_T2,PB14,-0.003212,0.047911,-0.011089,-0.019712,0.083858,-0.014514,0.001893,0.20117,0.209114,0.22795,0.49862,0.504085
PB14_T3,PB14,-0.005159,0.065786,-0.014068,-0.020603,0.075557,-0.006523,0.004883,0.380598,0.393382,0.413959,0.633694,0.634798
PB14_T4,PB14,-0.006778,0.074521,-0.014599,-0.017649,0.053748,0.001642,0.008428,0.49053,0.504299,0.519399,0.63059,0.63066
PB14_T5,PB14,-0.007813,0.077475,-0.014008,-0.014206,0.034371,0.00643,0.011199,0.532286,0.544963,0.554746,0.600217,0.601289
PB14_T6,PB14,-0.008575,0.077963,-0.013002,-0.01085,0.017651,0.009468,0.013489,0.541155,0.552076,0.557783,0.569775,0.572101
PB14_T7,PB14,-0.011721,0.077409,-0.009709,8.5e-05,-0.034437,0.015277,0.025204,0.545401,0.551491,0.551491,0.597137,0.603192
PB14_T8,PB14,-0.01494,0.073558,-0.005883,0.008686,-0.066197,0.013631,0.040947,0.510675,0.512911,0.516568,0.685231,0.690052
PB14_T9,PB14,-0.017397,0.069514,-0.003357,0.013503,-0.076732,0.011067,0.055524,0.47502,0.475748,0.484586,0.711208,0.714386
PB14_T10,PB14,-0.021095,0.061014,0.001166,0.020493,-0.080285,0.005217,0.081641,0.404823,0.40491,0.425269,0.67336,0.674066
PB14_T11,PB14,-0.02251,0.057712,0.002404,0.022352,-0.077752,0.00518,0.092954,0.382098,0.382472,0.406692,0.639381,0.640078
PB14_T12,PB14,-0.030043,0.04097,0.007737,0.027902,-0.05795,0.003688,0.165587,0.311303,0.31517,0.352911,0.48217,0.482523
PB15_T1,PB15,-0.001771,0.029744,-0.007134,-0.014389,0.065339,-0.013514,0.000576,0.077377,0.080666,0.090702,0.255025,0.259763
PB15_T2,PB15,-0.002635,0.042514,-0.010105,-0.01918,0.083552,-0.015967,0.001274,0.158181,0.164777,0.18261,0.451307,0.457921
PB15_T3,PB15,-0.004636,0.063058,-0.014205,-0.02321,0.090995,-0.012196,0.003943,0.34914,0.362176,0.38829,0.706992,0.710851
PB15_T4,PB15,-0.006407,0.075013,-0.01561,-0.022405,0.081195,-0.006155,0.007532,0.496023,0.511764,0.536098,0.789849,0.790832
PB15_T5,PB15,-0.007538,0.080719,-0.015842,-0.020575,0.068736,-0.001458,0.010423,0.576053,0.592267,0.612788,0.794641,0.794696
PB15_T6,PB15,-0.008347,0.083677,-0.015557,-0.018364,0.056286,0.001902,0.012783,0.620642,0.636277,0.652625,0.774565,0.774659
PB15_T7,PB15,-0.011191,0.087813,-0.013064,-0.008811,0.006472,0.010025,0.022975,0.692399,0.703425,0.707189,0.708801,0.711408
PB15_T8,PB15,-0.013739,0.087496,-0.009971,0.000327,-0.031774,0.013048,0.034628,0.699229,0.705652,0.705657,0.744516,0.748933
PB15_T9,PB15,-0.015763,0.085661,-0.007774,0.005829,-0.050676,0.013552,0.045584,0.682602,0.686507,0.688154,0.786997,0.791762
PB15_T10,PB15,-0.019157,0.080453,-0.003799,0.013473,-0.067787,0.011932,0.067326,0.629235,0.630167,0.638966,0.815829,0.819523
PB15_T11,PB15,-0.02058,0.077869,-0.002321,0.015968,-0.071193,0.011355,0.077696,0.604099,0.604448,0.616808,0.81189,0.815236
PB15_T12,PB15,-0.027359,0.063275,0.002549,0.022496,-0.069491,0.009019,0.137316,0.484895,0.485315,0.509848,0.695718,0.697829
PB16_T1,PB16,-0.002188,0.034726,-0.008273,-0.016057,0.07128,-0.014225,0.000878,0.105566,0.109988,0.122486,0.318047,0.323297
PB16_T2,PB16,-0.002923,0.044937,-0.010666,-0.019236,0.082104,-0.014794,0.001567,0.176874,0.184224,0.202162,0.461627,0.467306
PB16_T3,PB16,-0.004779,0.062894,-0.014143,-0.022016,0.084268,-0.010003,0.004191,0.347594,0.360516,0.384013,0.657338,0.659934
PB16_T4,PB16,-0.006494,0.074023,-0.015289,-0.020994,0.073812,-0.004074,0.007736,0.483419,0.498519,0.519886,0.729586,0.730017
PB16_T5,PB16,-0.007597,0.079455,-0.015432,-0.01916,0.061549,0.000418,0.010587,0.558644,0.57403,0.591826,0.737639,0.737643
PB16_T6,PB16,-0.008392,0.082287,-0.01514,-0.016965,0.049405,0.003608,0.012921,0.600746,0.615554,0.629507,0.723454,0.723792
