pc,eigenvalue,explained_var,cumulative_var,above_kaiser_1,above_mp_noise_floor
63,0.747864,0.001082,0.957235,False,False
64,0.724719,0.001049,0.958283,False,False
65,0.693947,0.001004,0.959288,False,False
66,0.682918,0.000988,0.960276,False,False
67,0.657204,0.000951,0.961227,False,False
68,0.620721,0.000898,0.962125,False,False
69,0.607901,0.00088,0.963005,False,False
70,0.588623,0.000852,0.963857,False,False
71,0.572925,0.000829,0.964686,False,False
72,0.559268,0.000809,0.965495,False,False
73,0.541364,0.000783,0.966279,False,False
74,0.517629,0.000749,0.967028,False,False
75,0.514465,0.000745,0.967773,False,False
76,0.500748,0.000725,0.968497,False,False
77,0.476121,0.000689,0.969186,False,False
78,0.470322,0.000681,0.969867,False,False
79,0.457712,0.000662,0.970529,False,False
80,0.453993,0.000657,0.971186,False,False
81,0.44659,0.000646,0.971833,False,False
82,0.435156,0.00063,0.972462,False,False
83,0.433609,0.000628,0.97309,False,False
84,0.428146,0.00062,0.973709,False,False
85,0.420673,0.000609,0.974318,False,False
86,0.414697,0.0006,0.974918,False,False
87,0.396596,0.000574,0.975492,False,False
88,0.386755,0.00056,0.976052,False,False
89,0.362324,0.000524,0.976576,False,False
90,0.358232,0.000518,0.977095,False,False
91,0.351781,0.000509,0.977604,False,False
92,0.344103,0.000498,0.978102,False,False
93,0.335623,0.000486,0.978588,False,False
94,0.328909,0.000476,0.979064,False,False
95,0.31537,0.000456,0.97952,False,False
96,0.311608,0.000451,0.979971,False,False
97,0.303512,0.000439,0.98041,False,False
98,0.302582,0.000438,0.980848,False,False
99,0.287191,0.000416,0.981264,False,False
100,0.279508,0.000404,0.981668,False,False
101,0.272734,0.000395,0.982063,False,False
102,0.270352,0.000391,0.982454,False,False
103,0.265253,0.000384,0.982838,False,False
104,0.26112,0.000378,0.983216,False,False
105,0.250754,0.000363,0.983579,False,False
106,0.245223,0.000355,0.983934,False,False
107,0.239254,0.000346,0.98428,False,False
108,0.232275,0.000336,0.984616,False,False
109,0.229315,0.000332,0.984948,False,False
110,0.224011,0.000324,0.985272,False,False
111,0.216383,0.000313,0.985585,False,False
112,0.215469,0.000312,0.985897,False,False
113,0.214403,0.00031,0.986207,False,False
114,0.206212,0.000298,0.986506,False,False
115,0.197765,0.000286,0.986792,False,False
116,0.194744,0.000282,0.987074,False,False
117,0.192154,0.000278,0.987352,False,False
118,0.187771,0.000272,0.987624,False,False
119,0.183936,0.000266,0.98789,False,False
120,0.177598,0.000257,0.988147,False,False
121,0.172152,0.000249,0.988396,False,False
122,0.169909,0.000246,0.988642,False,False
123,0.167281,0.000242,0.988884,False,False
124,0.166168,0.00024,0.989124,False,False
125,0.15979,0.000231,0.989356,False,False
126,0.156715,0.000227,0.989582,False,False
127,0.152684,0.000221,0.989803,False,False
128,0.15084,0.000218,0.990022,False,False
129,0.147324,0.000213,0.990235,False,False
130,0.140844,0.000204,0.990439,False,False
131,0.13796,0.0002,0.990638,False,False
132,0.135423,0.000196,0.990834,False,False
133,0.133035,0.000193,0.991027,False,False
134,0.131801,0.000191,0.991218,False,False
135,0.131039,0.00019,0.991407,False,False
136,0.126302,0.000183,0.99159,False,False
137,0.12208,0.000177,0.991767,False,False
138,0.120524,0.000174,0.991941,False,False
139,0.115241,0.000167,0.992108,False,False
140,0.113378,0.000164,0.992272,False,False
141,0.111065,0.000161,0.992433,False,False
142,0.108254,0.000157,0.992589,False,False
143,0.10813,0.000156,0.992746,False,False
144,0.10515,0.000152,0.992898,False,False
145,0.102101,0.000148,0.993046,False,False
146,0.100493,0.000145,0.993191,False,False
147,0.098021,0.000142,0.993333,False,False
148,0.097478,0.000141,0.993474,False,False
149,0.094768,0.000137,0.993611,False,False
150,0.092705,0.000134,0.993745,False,False
151,0.089826,0.00013,0.993875,False,False
152,0.088058,0.000127,0.994003,False,False
153,0.086892,0.000126,0.994129,False,False
154,0.084976,0.000123,0.994252,False,False
155,0.083189,0.00012,0.994372,False,False
156,0.081331,0.000118,0.99449,False,False
157,0.08105,0.000117,0.994607,False,False
158,0.077929,0.000113,0.99472,False,False
159,0.076801,0.000111,0.994831,False,False
160,0.074822,0.000108,0.994939,False,False
161,0.073054,0.000106,0.995045,False,False
162,0.072396,0.000105,0.99515,False,False
163,0.071659,0.000104,0.995253,False,False
164,0.06908,0.0001,0.995353,False,False
165,0.067811,9.8e-05,0.995451,False,False
166,0.067245,9.7e-05,0.995549,False,False
167,0.066802,9.7e-05,0.995645,False,False
168,0.065554,9.5e-05,0.99574,False,False
169,0.064489,9.3e-05,0.995834,False,False
170,0.060707,8.8e-05,0.995921,False,False
171,0.060106,8.7e-05,0.996008,False,False
172,0.059793,8.7e-05,0.996095,False,False
173,0.05948,8.6e-05,0.996181,False,False
174,0.057788,8.4e-05,0.996265,False,False
175,0.055072,8e-05,0.996344,False,False
176,0.054435,7.9e-05,0.996423,False,False
177,0.053427,7.7e-05,0.9965,False,False
178,0.052896,7.7e-05,0.996577,False,False
179,0.05248,7.6e-05,0.996653,False,False
180,0.049741,7.2e-05,0.996725,False,False
181,0.047609,6.9e-05,0.996794,False,False
182,0.047191,6.8e-05,0.996862,False,False
183,0.045852,6.6e-05,0.996928,False,False
184,0.045342,6.6e-05,0.996994,False,False
185,0.044043,6.4e-05,0.997058,False,False
186,0.04292,6.2e-05,0.99712,False,False
187,0.042806,6.2e-05,0.997182,False,False
188,0.042439,6.1e-05,0.997243,False,False
189,0.040026,5.8e-05,0.997301,False,False
190,0.039601,5.7e-05,0.997359,False,False
191,0.038725,5.6e-05,0.997415,False,False
192,0.038302,5.5e-05,0.99747,False,False
193,0.037804,5.5e-05,0.997525,False,False
194,0.037483,5.4e-05,0.997579,False,False
195,0.036922,5.3e-05,0.997632,False,False
196,0.03573,5.2e-05,0.997684,False,False
197,0.034852,5e-05,0.997735,False,False
198,0.034419,5e-05,0.997784,False,False
199,0.033293,4.8e-05,0.997833,False,False
200,0.032861,4.8e-05,0.99788,False,False
201,0.032201,4.7e-05,0.997927,False,False
202,0.031658,4.6e-05,0.997973,False,False
203,0.030862,4.5e-05,0.998017,False,False
204,0.030641,4.4e-05,0.998062,False,False
205,0.030227,4.4e-05,0.998105,False,False
206,0.029178,4.2e-05,0.998148,False,False
207,0.02895,4.2e-05,0.998189,False,False
208,0.028721,4.2e-05,0.998231,False,False
209,0.028334,4.1e-05,0.998272,False,False
210,0.027674,4e-05,0.998312,False,False
211,0.0272,3.9e-05,0.998351,False,False
212,0.026463,3.8e-05,0.99839,False,False
213,0.02608,3.8e-05,0.998427,False,False
214,0.02592,3.8e-05,0.998465,False,False
215,0.024839,3.6e-05,0.998501,False,False
216,0.02449,3.5e-05,0.998536,False,False
217,0.023726,3.4e-05,0.998571,False,False
218,0.022715,3.3e-05,0.998604,False,False
219,0.02188,3.2e-05,0.998635,False,False
220,0.021375,3.1e-05,0.998666,False,False
221,0.021146,3.1e-05,0.998697,False,False
222,0.020587,3e-05,0.998727,False,False
223,0.020365,2.9e-05,0.998756,False,False
224,0.020146,2.9e-05,0.998785,False,False
225,0.019868,2.9e-05,0.998814,False,False
226,0.019195,2.8e-05,0.998842,False,False
227,0.019111,2.8e-05,0.998869,False,False
228,0.018521,2.7e-05,0.998896,False,False
229,0.01758,2.5e-05,0.998922,False,False
230,0.017354,2.5e-05,0.998947,False,False
231,0.0166,2.4e-05,0.998971,False,False
232,0.016351,2.4e-05,0.998994,False,False
233,0.016123,2.3e-05,0.999018,False,False
234,0.015628,2.3e-05,0.99904,False,False
235,0.015412,2.2e-05,0.999063,False,False
236,0.015284,2.2e-05,0.999085,False,False
237,0.015162,2.2e-05,0.999107,False,False
238,0.014904,2.2e-05,0.999128,False,False
239,0.01463,2.1e-05,0.999149,False,False
240,0.013916,2e-05,0.99917,False,False
241,0.013623,2e-05,0.999189,False,False
242,0.013448,1.9e-05,0.999209,False,False
243,0.01334,1.9e-05,0.999228,False,False
244,0.013087,1.9e-05,0.999247,False,False
245,0.012436,1.8e-05,0.999265,False,False
246,0.012227,1.8e-05,0.999283,False,False
247,0.012027,1.7e-05,0.9993,False,False
248,0.011818,1.7e-05,0.999317,False,False
249,0.011244,1.6e-05,0.999333,False,False
250,0.010985,1.6e-05,0.999349,False,False
251,0.010968,1.6e-05,0.999365,False,False
252,0.010846,1.6e-05,0.999381,False,False
253,0.010749,1.6e-05,0.999396,False,False
254,0.010716,1.6e-05,0.999412,False,False
255,0.010172,1.5e-05,0.999427,False,False
256,0.010092,1.5e-05,0.999441,False,False
257,0.009936,1.4e-05,0.999456,False,False
258,0.009547,1.4e-05,0.99947,False,False
259,0.0093,1.3e-05,0.999483,False,False
260,0.009263,1.3e-05,0.999496,False,False
261,0.008965,1.3e-05,0.999509,False,False
262,0.008725,1.3e-05,0.999522,False,False
263,0.008564,1.2e-05,0.999534,False,False
264,0.008536,1.2e-05,0.999547,False,False
265,0.008326,1.2e-05,0.999559,False,False
266,0.008073,1.2e-05,0.99957,False,False
267,0.007717,1.1e-05,0.999582,False,False
268,0.007662,1.1e-05,0.999593,False,False
269,0.007515,1.1e-05,0.999604,False,False
270,0.007432,1.1e-05,0.999614,False,False
271,0.007206,1e-05,0.999625,False,False
272,0.007178,1e-05,0.999635,False,False
273,0.007105,1e-05,0.999645,False,False
274,0.007002,1e-05,0.999656,False,False
275,0.006759,1e-05,0.999665,False,False
276,0.006681,1e-05,0.999675,False,False
277,0.00647,9e-06,0.999684,False,False
278,0.006257,9e-06,0.999693,False,False
279,0.005884,9e-06,0.999702,False,False
280,0.005619,8e-06,0.99971,False,False
281,0.005582,8e-06,0.999718,False,False
282,0.005472,8e-06,0.999726,False,False
283,0.005347,8e-06,0.999734,False,False
284,0.005263,8e-06,0.999741,False,False
285,0.005158,7e-06,0.999749,False,False
286,0.00515,7e-06,0.999756,False,False
287,0.005056,7e-06,0.999764,False,False
288,0.004963,7e-06,0.999771,False,False
289,0.004916,7e-06,0.999778,False,False
290,0.00482,7e-06,0.999785,False,False
291,0.004529,7e-06,0.999792,False,False
292,0.004456,6e-06,0.999798,False,False
293,0.004422,6e-06,0.999804,False,False
294,0.004324,6e-06,0.999811,False,False
295,0.004233,6e-06,0.999817,False,False
296,0.004073,6e-06,0.999823,False,False
297,0.003934,6e-06,0.999828,False,False
298,0.003872,6e-06,0.999834,False,False
299,0.003807,6e-06,0.999839,False,False
300,0.003642,5e-06,0.999845,False,False
301,0.003583,5e-06,0.99985,False,False
302,0.003497,5e-06,0.999855,False,False
303,0.003473,5e-06,0.99986,False,False
304,0.003354,5e-06,0.999865,False,False
305,0.003248,5e-06,0.99987,False,False
306,0.003149,5e-06,0.999874,False,False
307,0.003038,4e-06,0.999878,False,False
308,0.00298,4e-06,0.999883,False,False
309,0.002942,4e-06,0.999887,False,False
310,0.002864,4e-06,0.999891,False,False
311,0.002722,4e-06,0.999895,False,False
312,0.002676,4e-06,0.999899,False,False
313,0.002539,4e-06,0.999903,False,False
314,0.002504,4e-06,0.999906,False,False
315,0.002456,4e-06,0.99991,False,False
316,0.002435,4e-06,0.999913,False,False
317,0.002387,3e-06,0.999917,False,False
318,0.002316,3e-06,0.99992,False,False
319,0.002294,3e-06,0.999924,False,False
320,0.002198,3e-06,0.999927,False,False
321,0.00218,3e-06,0.99993,False,False
322,0.002117,3e-06,0.999933,False,False
323,0.001985,3e-06,0.999936,False,False
324,0.001983,3e-06,0.999939,False,False
325,0.001921,3e-06,0.999941,False,False
326,0.001798,3e-06,0.999944,False,False
327,0.001708,2e-06,0.999947,False,False
328,0.001662,2e-06,0.999949,False,False
329,0.00161,2e-06,0.999951,False,False
330,0.001594,2e-06,0.999954,False,False
331,0.001584,2e-06,0.999956,False,False
332,0.001491,2e-06,0.999958,False,False
333,0.001457,2e-06,0.99996,False,False
334,0.001454,2e-06,0.999962,False,False
335,0.001415,2e-06,0.999964,False,False
336,0.001321,2e-06,0.999966,False,False
337,0.001202,2e-06,0.999968,False,False
338,0.001177,2e-06,0.99997,False,False
339,0.001137,2e-06,0.999971,False,False
340,0.001121,2e-06,0.999973,False,False
341,0.001083,2e-06,0.999974,False,False
342,0.001074,2e-06,0.999976,False,False
343,0.001047,2e-06,0.999978,False,False
344,0.00099,1e-06,0.999979,False,False
345,0.000862,1e-06,0.99998,False,False
346,0.000854,1e-06,0.999981,False,False
347,0.000836,1e-06,0.999983,False,False
348,0.000818,1e-06,0.999984,False,False
349,0.000809,1e-06,0.999985,False,False
350,0.000792,1e-06,0.999986,False,False
351,0.000734,1e-06,0.999987,False,False
352,0.000703,1e-06,0.999988,False,False
353,0.000654,1e-06,0.999989,False,False
354,0.000584,1e-06,0.99999,False,False
355,0.000545,1e-06,0.999991,False,False
356,0.000505,1e-06,0.999992,False,False
357,0.000498,1e-06,0.999992,False,False
358,0.000431,1e-06,0.999993,False,False
359,0.000393,1e-06,0.999993,False,False
360,0.000343,0.0,0.999994,False,False
361,0.000298,0.0,0.999994,False,False
362,0.000284,0.0,0.999995,False,False
363,0.000278,0.0,0.999995,False,False
364,0.000275,0.0,0.999996,False,False
365,0.000268,0.0,0.999996,False,False
366,0.000234,0.0,0.999996,False,False
367,0.000231,0.0,0.999997,False,False
368,0.000217,0.0,0.999997,False,False
369,0.000208,0.0,0.999997,False,False
370,0.0002,0.0,0.999998,False,False
371,0.000186,0.0,0.999998,False,False
372,0.000163,0.0,0.999998,False,False
373,0.000124,0.0,0.999998,False,False
374,0.000121,0.0,0.999998,False,False
375,0.000112,0.0,0.999999,False,False
376,8.9e-05,0.0,0.999999,False,False
377,8.4e-05,0.0,0.999999,False,False
378,8.1e-05,0.0,0.999999,False,False
379,7.8e-05,0.0,0.999999,False,False
380,6.6e-05,0.0,0.999999,False,False
381,6.2e-05,0.0,0.999999,False,False
382,5e-05,0.0,0.999999,False,False
383,4.7e-05,0.0,0.999999,False,False
384,4.6e-05,0.0,0.999999,False,False
385,3.7e-05,0.0,1.0,False,False
386,3.4e-05,0.0,1.0,False,False
387,2.8e-05,0.0,1.0,False,False
388,2.3e-05,0.0,1.0,False,False
389,2.2e-05,0.0,1.0,False,False
390,2.1e-05,0.0,1.0,False,False
391,2.1e-05,0.0,1.0,False,False
392,1.5e-05,0.0,1.0,False,False
393,1.5e-05,0.0,1.0,False,False
394,1.3e-05,0.0,1.0,False,False
395,1.2e-05,0.0,1.0,False,False
396,1.1e-05,0.0,1.0,False,False
397,1e-05,0.0,1.0,False,False
398,9e-06,0.0,1.0,False,False
399,8e-06,0.0,1.0,False,False
400,8e-06,0.0,1.0,False,False
401,7e-06,0.0,1.0,False,False
402,6e-06,0.0,1.0,False,False
403,6e-06,0.0,1.0,False,False
404,5e-06,0.0,1.0,False,False
405,5e-06,0.0,1.0,False,False
406,4e-06,0.0,1.0,False,False
407,4e-06,0.0,1.0,False,False
408,3e-06,0.0,1.0,False,False
409,3e-06,0.0,1.0,False,False
410,3e-06,0.0,1.0,False,False
411,3e-06,0.0,1.0,False,False
412,3e-06,0.0,1.0,False,False
413,3e-06,0.0,1.0,False,False
414,2e-06,0.0,1.0,False,False
415,2e-06,0.0,1.0,False,False
416,2e-06,0.0,1.0,False,False
417,2e-06,0.0,1.0,False,False
418,1e-06,0.0,1.0,False,False
419,1e-06,0.0,1.0,False,False
420,1e-06,0.0,1.0,False,False
421,1e-06,0.0,1.0,False,False
422,1e-06,0.0,1.0,False,False
423,1e-06,0.0,1.0,False,False
424,1e-06,0.0,1.0,False,False
425,1e-06,0.0,1.0,False,False
426,1e-06,0.0,1.0,False,False
427,1e-06,0.0,1.0,False,False
428,1e-06,0.0,1.0,False,False
429,1e-06,0.0,1.0,False,False
430,1e-06,0.0,1.0,False,False
431,1e-06,0.0,1.0,False,False
432,1e-06,0.0,1.0,False,False
433,0.0,0.0,1.0,False,False
434,0.0,0.0,1.0,False,False
435,0.0,0.0,1.0,False,False
436,0.0,0.0,1.0,False,False
437,0.0,0.0,1.0,False,False
438,0.0,0.0,1.0,False,False
439,0.0,0.0,1.0,False,False
440,0.0,0.0,1.0,False,False
441,0.0,0.0,1.0,False,False
442,0.0,0.0,1.0,False,False
443,0.0,0.0,1.0,False,False
444,0.0,0.0,1.0,False,False
445,0.0,0.0,1.0,False,False
446,0.0,0.0,1.0,False,False
447,0.0,0.0,1.0,False,False
448,0.0,0.0,1.0,False,False
449,0.0,0.0,1.0,False,False
450,0.0,0.0,1.0,False,False
451,0.0,0.0,1.0,False,False
452,0.0,0.0,1.0,False,False
453,0.0,0.0,1.0,False,False
454,0.0,0.0,1.0,False,False
455,0.0,0.0,1.0,False,False
456,0.0,0.0,1.0,False,False
457,0.0,0.0,1.0,False,False
458,0.0,0.0,1.0,False,False
459,0.0,0.0,1.0,False,False
460,0.0,0.0,1.0,False,False
461,0.0,0.0,1.0,False,False
462,0.0,0.0,1.0,False,False
463,0.0,0.0,1.0,False,False
464,0.0,0.0,1.0,False,False
465,0.0,0.0,1.0,False,False
466,0.0,0.0,1.0,False,False
467,0.0,0.0,1.0,False,False
468,0.0,0.0,1.0,False,False
469,0.0,0.0,1.0,False,False
470,0.0,0.0,1.0,False,False
471,0.0,0.0,1.0,False,False
472,0.0,0.0,1.0,False,False
473,0.0,0.0,1.0,False,False
474,0.0,0.0,1.0,False,False
475,0.0,0.0,1.0,False,False
476,0.0,0.0,1.0,False,False
477,0.0,0.0,1.0,False,False
478,0.0,0.0,1.0,False,False
479,0.0,0.0,1.0,False,False
480,0.0,0.0,1.0,False,False
481,0.0,0.0,1.0,False,False
482,0.0,0.0,1.0,False,False
483,0.0,0.0,1.0,False,False
484,0.0,0.0,1.0,False,False
485,0.0,0.0,1.0,False,False
486,0.0,0.0,1.0,False,False
487,0.0,0.0,1.0,False,False
488,0.0,0.0,1.0,False,False
489,0.0,0.0,1.0,False,False
490,0.0,0.0,1.0,False,False
491,0.0,0.0,1.0,False,False
492,0.0,0.0,1.0,False,False
493,0.0,0.0,1.0,False,False
494,0.0,0.0,1.0,False,False
495,0.0,0.0,1.0,False,False
496,0.0,0.0,1.0,False,False
497,0.0,0.0,1.0,False,False
498,0.0,0.0,1.0,False,False
499,0.0,0.0,1.0,False,False
500,0.0,0.0,1.0,False,False
501,0.0,0.0,1.0,False,False
502,0.0,0.0,1.0,False,False
503,0.0,0.0,1.0,False,False
504,0.0,0.0,1.0,False,False
505,0.0,0.0,1.0,False,False
506,0.0,0.0,1.0,False,False
507,0.0,0.0,1.0,False,False
508,0.0,0.0,1.0,False,False
509,0.0,0.0,1.0,False,False
510,0.0,0.0,1.0,False,False
511,0.0,0.0,1.0,False,False
512,0.0,0.0,1.0,False,False
513,0.0,0.0,1.0,False,False
514,0.0,0.0,1.0,False,False
515,0.0,0.0,1.0,False,False
516,0.0,0.0,1.0,False,False
517,0.0,0.0,1.0,False,False
518,0.0,0.0,1.0,False,False
519,0.0,0.0,1.0,False,False
520,0.0,0.0,1.0,False,False
521,0.0,0.0,1.0,False,False
522,0.0,0.0,1.0,False,False
523,0.0,0.0,1.0,False,False
524,0.0,0.0,1.0,False,False
525,0.0,0.0,1.0,False,False
526,0.0,0.0,1.0,False,False
527,0.0,0.0,1.0,False,False
528,0.0,0.0,1.0,False,False
529,0.0,0.0,1.0,False,False
530,0.0,0.0,1.0,False,False
531,0.0,0.0,1.0,False,False
532,0.0,0.0,1.0,False,False
533,0.0,0.0,1.0,False,False
534,0.0,0.0,1.0,False,False
535,0.0,0.0,1.0,False,False
536,0.0,0.0,1.0,False,False
537,0.0,0.0,1.0,False,False
538,0.0,0.0,1.0,False,False
539,0.0,0.0,1.0,False,False
540,0.0,0.0,1.0,False,False
541,0.0,0.0,1.0,False,False
542,0.0,0.0,1.0,False,False
543,0.0,0.0,1.0,False,False
544,0.0,0.0,1.0,False,False
545,0.0,0.0,1.0,False,False
546,0.0,0.0,1.0,False,False
547,0.0,0.0,1.0,False,False
548,0.0,0.0,1.0,False,False
549,0.0,0.0,1.0,False,False
550,0.0,0.0,1.0,False,False
551,0.0,0.0,1.0,False,False
552,0.0,0.0,1.0,False,False
553,0.0,0.0,1.0,False,False
554,0.0,0.0,1.0,False,False
555,0.0,0.0,1.0,False,False
556,0.0,0.0,1.0,False,False
557,0.0,0.0,1.0,False,False
558,0.0,0.0,1.0,False,False
559,0.0,0.0,1.0,False,False
560,0.0,0.0,1.0,False,False
561,0.0,0.0,1.0,False,False
562,0.0,0.0,1.0,False,False
563,0.0,0.0,1.0,False,False
564,0.0,0.0,1.0,False,False
565,0.0,0.0,1.0,False,False
566,0.0,0.0,1.0,False,False
567,0.0,0.0,1.0,False,False
568,0.0,0.0,1.0,False,False
569,0.0,0.0,1.0,False,False
570,0.0,0.0,1.0,False,False
571,0.0,0.0,1.0,False,False
572,0.0,0.0,1.0,False,False
573,0.0,0.0,1.0,False,False
574,0.0,0.0,1.0,False,False
575,0.0,0.0,1.0,False,False
576,0.0,0.0,1.0,False,False
577,0.0,0.0,1.0,False,False
578,0.0,0.0,1.0,False,False
579,0.0,0.0,1.0,False,False
580,0.0,0.0,1.0,False,False
581,0.0,0.0,1.0,False,False
582,0.0,0.0,1.0,False,False
583,0.0,0.0,1.0,False,False
584,0.0,0.0,1.0,False,False
585,-0.0,0.0,1.0,False,False
586,-0.0,0.0,1.0,False,False
587,-0.0,0.0,1.0,False,False
588,-0.0,0.0,1.0,False,False
589,-0.0,0.0,1.0,False,False
590,-0.0,0.0,1.0,False,False
591,-0.0,0.0,1.0,False,False
592,-0.0,0.0,1.0,False,False
593,-0.0,0.0,1.0,False,False
594,-0.0,0.0,1.0,False,False
595,-0.0,0.0,1.0,False,False
596,-0.0,0.0,1.0,False,False
597,-0.0,0.0,1.0,False,False
598,-0.0,0.0,1.0,False,False
599,-0.0,0.0,1.0,False,False
600,-0.0,0.0,1.0,False,False
601,-0.0,0.0,1.0,False,False
602,-0.0,0.0,1.0,False,False
603,-0.0,0.0,1.0,False,False
604,-0.0,0.0,1.0,False,False
605,-0.0,0.0,1.0,False,False
606,-0.0,0.0,1.0,False,False
607,-0.0,0.0,1.0,False,False
608,-0.0,0.0,1.0,False,False
609,-0.0,0.0,1.0,False,False
610,-0.0,0.0,1.0,False,False
611,-0.0,0.0,1.0,False,False
612,-0.0,0.0,1.0,False,False
613,-0.0,0.0,1.0,False,False
614,-0.0,0.0,1.0,False,False
615,-0.0,0.0,1.0,False,False
616,-0.0,0.0,1.0,False,False
617,-0.0,0.0,1.0,False,False
618,-0.0,0.0,1.0,False,False
619,-0.0,0.0,1.0,False,False
620,-0.0,0.0,1.0,False,False
621,-0.0,0.0,1.0,False,False
622,-0.0,0.0,1.0,False,False
623,-0.0,0.0,1.0,False,False
624,-0.0,0.0,1.0,False,False
625,-0.0,0.0,1.0,False,False
626,-0.0,0.0,1.0,False,False
627,-0.0,0.0,1.0,False,False
628,-0.0,0.0,1.0,False,False
629,-0.0,0.0,1.0,False,False
630,-0.0,0.0,1.0,False,False
631,-0.0,0.0,1.0,False,False
632,-0.0,0.0,1.0,False,False
633,-0.0,0.0,1.0,False,False
634,-0.0,0.0,1.0,False,False
635,-0.0,0.0,1.0,False,False
636,-0.0,0.0,1.0,False,False
637,-0.0,0.0,1.0,False,False
638,-0.0,0.0,1.0,False,False
639,-0.0,0.0,1.0,False,False
640,-0.0,0.0,1.0,False,False
641,-0.0,0.0,1.0,False,False
642,-0.0,0.0,1.0,False,False
643,-0.0,0.0,1.0,False,False
644,-0.0,0.0,1.0,False,False
645,-0.0,0.0,1.0,False,False
646,-0.0,0.0,1.0,False,False
647,-0.0,0.0,1.0,False,False
648,-0.0,0.0,1.0,False,False
649,-0.0,0.0,1.0,False,False
650,-0.0,0.0,1.0,False,False
651,-0.0,0.0,1.0,False,False
652,-0.0,0.0,1.0,False,False
653,-0.0,0.0,1.0,False,False
654,-0.0,0.0,1.0,False,False
655,-0.0,0.0,1.0,False,False
656,-0.0,0.0,1.0,False,False
657,-0.0,0.0,1.0,False,False
658,-0.0,0.0,1.0,False,False
659,-0.0,0.0,1.0,False,False
660,-0.0,0.0,1.0,False,False
661,-0.0,0.0,1.0,False,False
662,-0.0,0.0,1.0,False,False
663,-0.0,0.0,1.0,False,False
664,-0.0,0.0,1.0,False,False
665,-0.0,0.0,1.0,False,False
666,-0.0,0.0,1.0,False,False
667,-0.0,0.0,1.0,False,False
668,-0.0,0.0,1.0,False,False
669,-0.0,0.0,1.0,False,False
670,-0.0,0.0,1.0,False,False
671,-0.0,0.0,1.0,False,False
672,-0.0,0.0,1.0,False,False
673,-0.0,0.0,1.0,False,False
674,-0.0,0.0,1.0,False,False
675,-0.0,0.0,1.0,False,False
676,-0.0,0.0,1.0,False,False
677,-0.0,0.0,1.0,False,False
678,-0.0,0.0,1.0,False,False
679,-0.0,0.0,1.0,False,False
680,-0.0,0.0,1.0,False,False
681,-0.0,0.0,1.0,False,False
682,-0.0,0.0,1.0,False,False
683,-0.0,0.0,1.0,False,False
684,-0.0,0.0,1.0,False,False
685,-0.0,0.0,1.0,False,False
686,-0.0,0.0,1.0,False,False
687,-0.0,0.0,1.0,False,False
688,-0.0,0.0,1.0,False,False
