feature,family,cluster_id,max_abs_corr_other,closest_partner
VB1_T5,VB1,26,0.814194,VB1_T6
VB1_T6,VB1,26,0.814194,VB1_T5
VB1_T4,VB1,27,0.730713,VB1_T5
VB1_T3,VB1,28,0.543394,VB1_T4
VB1_T7,VB1,29,0.59342,VB1_T8
PV1_T7,PV1,30,0.597114,PV1_T8
VB1_T12,VB1,31,0.592126,PV1_T12
PV1_T12,PV1,32,0.592126,VB1_T12
VB1_T10,VB1,33,0.90179,VB1_T11
VB1_T11,VB1,33,0.90179,VB1_T10
VB1_T8,VB1,34,0.757192,VB1_T9
VB1_T9,VB1,34,0.757192,VB1_T8
PV1_T10,PV1,35,0.852341,PV1_T11
PV1_T11,PV1,35,0.852341,PV1_T10
PV1_T8,PV1,36,0.715888,PV1_T9
PV1_T9,PV1,36,0.715888,PV1_T8
BB9_T1,BB9,37,0.991284,VB5_T1
BB9_T2,BB9,37,0.983087,VB5_T2
VB2_T1,VB2,37,0.9555,VB4_T1
VB2_T2,VB2,37,0.966629,VB4_T2
VB3_T1,VB3,37,1.0,VB4_T1
VB3_T2,VB3,37,1.0,VB4_T2
VB4_T1,VB4,37,1.0,VB3_T1
VB4_T2,VB4,37,1.0,VB3_T2
VB5_T1,VB5,37,0.991284,BB9_T1
VB5_T2,VB5,37,0.983087,BB9_T2
BB9_T10,BB9,38,0.969785,VB5_T10
BB9_T11,BB9,38,0.969186,BB9_T10
BB9_T12,BB9,38,0.966907,VB5_T12
BB9_T3,BB9,38,0.975,VB5_T3
BB9_T4,BB9,38,0.97291,VB5_T4
BB9_T5,BB9,38,0.972177,VB5_T5
BB9_T6,BB9,38,0.971886,VB5_T6
BB9_T7,BB9,38,0.972165,VB5_T7
BB9_T8,BB9,38,0.973311,VB5_T8
BB9_T9,BB9,38,0.972115,VB5_T9
VB2_T10,VB2,38,0.997571,VB2_T11
VB2_T11,VB2,38,0.997571,VB2_T10
VB2_T12,VB2,38,0.988933,VB4_T12
VB2_T3,VB2,38,0.973085,VB4_T3
VB2_T4,VB2,38,0.984311,VB2_T5
VB2_T5,VB2,38,0.991224,VB2_T6
VB2_T6,VB2,38,0.991224,VB2_T5
VB2_T7,VB2,38,0.983371,VB4_T7
VB2_T8,VB2,38,0.991317,VB2_T9
VB2_T9,VB2,38,0.991317,VB2_T8
VB3_T10,VB3,38,1.0,VB4_T10
VB3_T11,VB3,38,1.0,VB4_T11
VB3_T12,VB3,38,1.0,VB4_T12
VB3_T3,VB3,38,1.0,VB4_T3
VB3_T4,VB3,38,1.0,VB4_T4
VB3_T5,VB3,38,1.0,VB4_T5
VB3_T6,VB3,38,1.0,VB4_T6
VB3_T7,VB3,38,1.0,VB4_T7
VB3_T8,VB3,38,1.0,VB4_T8
VB3_T9,VB3,38,1.0,VB4_T9
VB4_T10,VB4,38,1.0,VB3_T10
VB4_T11,VB4,38,1.0,VB3_T11
VB4_T12,VB4,38,1.0,VB3_T12
VB4_T3,VB4,38,1.0,VB3_T3
VB4_T4,VB4,38,1.0,VB3_T4
VB4_T5,VB4,38,1.0,VB3_T5
VB4_T6,VB4,38,1.0,VB3_T6
VB4_T7,VB4,38,1.0,VB3_T7
VB4_T8,VB4,38,1.0,VB3_T8
VB4_T9,VB4,38,1.0,VB3_T9
VB5_T10,VB5,38,0.973709,VB5_T11
VB5_T11,VB5,38,0.973709,VB5_T10
VB5_T12,VB5,38,0.966907,BB9_T12
VB5_T3,VB5,38,0.975,BB9_T3
VB5_T4,VB5,38,0.97291,BB9_T4
VB5_T5,VB5,38,0.972177,BB9_T5
VB5_T6,VB5,38,0.971886,BB9_T6
VB5_T7,VB5,38,0.972165,BB9_T7
VB5_T8,VB5,38,0.973311,BB9_T8
VB5_T9,VB5,38,0.972115,BB9_T9
V2_T4,V2,39,0.826409,V2_T5
V2_T5,V2,39,0.874769,V2_T6
V2_T6,V2,39,0.874769,V2_T5
V2_T3,V2,40,0.715863,V2_T4
V2_T10,V2,41,0.940452,V2_T11
V2_T11,V2,41,0.940452,V2_T10
V2_T12,V2,41,0.813934,V2_T11
V2_T8,V2,41,0.854751,V2_T9
V2_T9,V2,41,0.854751,V2_T8
V2_T7,V2,42,0.749002,V2_T8
BB2_T10,BB2,43,0.566343,BB2_T11
BB2_T11,BB2,44,0.566343,BB2_T10
BB2_T12,BB2,45,0.503115,BB2_T11
BB2_T8,BB2,46,0.529689,BB2_T9
BB2_T9,BB2,47,0.529689,BB2_T8
BB2_T7,BB2,48,0.502716,BB2_T8
BB25,BB25,49,0.857076,PB6_T1
BB3_T3,BB3,49,0.857445,PB6_T1
PB12_T2,PB12,49,1.0,PB5_T2
PB13_T2,PB13,49,1.0,PB5_T2
PB1_T2,PB1,49,1.0,PB4_T2
PB4_T2,PB4,49,1.0,PB1_T2
PB5_T2,PB5,49,1.0,PB12_T2
PB6_T1,PB6,49,0.922656,PB13_T2
BB2_T2,BB2,50,0.686641,PB13_T2
PB2_T2,PB2,51,0.705945,PB13_T2
BB10_T1,BB10,52,1.0,PB7_T1
BB10_T2,BB10,52,1.0,PB7_T2
PB14_T1,PB14,52,0.87641,PB16_T1
PB14_T2,PB14,52,0.869181,PB3_T2
PB15_T1,PB15,52,1.0,PB17_T1
PB15_T2,PB15,52,1.0,PB17_T2
PB16_T1,PB16,52,0.87641,PB14_T1
PB16_T2,PB16,52,0.86879,PB17_T2
PB17_T1,PB17,52,1.0,PB15_T1
PB17_T2,PB17,52,1.0,PB15_T2
PB18_T1,PB18,52,0.994924,PB7_T1
PB18_T2,PB18,52,0.993419,PB7_T2
PB3_T1,PB3,52,0.931274,PB3_T2
PB3_T2,PB3,52,0.937288,PB7_T3
PB7_T1,PB7,52,1.0,BB10_T1
PB7_T2,PB7,52,1.0,BB10_T2
PB8_T1,PB8,52,0.931875,BB10_T1
PB8_T2,PB8,52,0.946944,PB7_T2
BB2_T1,BB2,53,0.753141,PB12_T1
BB3_T2,BB3,53,0.861273,PB12_T1
PB12_T1,PB12,53,1.0,PB5_T1
PB13_T1,PB13,53,1.0,PB5_T1
PB1_T1,PB1,53,1.0,PB4_T1
PB4_T1,PB4,53,1.0,PB1_T1
PB5_T1,PB5,53,1.0,PB12_T1
BB3_T1,BB3,54,0.806357,BB3_T2
PB2_T1,PB2,55,0.710373,PB4_T1
PB2_T3,PB2,56,0.699122,PB1_T3
PB2_T8,PB2,57,0.720929,PB12_T8
PB2_T9,PB2,58,0.716293,PB12_T9
PB2_T10,PB2,59,0.723468,PB2_T11
PB2_T11,PB2,59,0.723468,PB2_T10
BB3_T10,BB3,60,0.98672,BB3_T11
BB3_T11,BB3,60,0.98672,BB3_T10
PB12_T8,PB12,60,1.0,PB5_T8
PB12_T9,PB12,60,1.0,PB5_T9
PB13_T8,PB13,60,0.999999,PB5_T8
PB13_T9,PB13,60,0.999999,PB5_T9
PB1_T8,PB1,60,1.0,PB4_T8
PB1_T9,PB1,60,1.0,PB4_T9
PB4_T8,PB4,60,1.0,PB1_T8
PB4_T9,PB4,60,1.0,PB1_T9
PB5_T8,PB5,60,1.0,PB12_T8
PB5_T9,PB5,60,1.0,PB12_T9
PB6_T7,PB6,60,0.877564,PB13_T8
BB3_T12,BB3,61,0.907275,PB13_T11
PB12_T10,PB12,61,1.0,PB5_T10
PB12_T11,PB12,61,1.0,PB5_T11
PB13_T10,PB13,61,0.999998,PB12_T10
PB13_T11,PB13,61,0.999998,PB5_T11
PB1_T10,PB1,61,1.0,PB4_T10
PB1_T11,PB1,61,1.0,PB4_T11
PB4_T10,PB4,61,1.0,PB1_T10
PB4_T11,PB4,61,1.0,PB1_T11
PB5_T10,PB5,61,1.0,PB12_T10
PB5_T11,PB5,61,1.0,PB12_T11
PB6_T8,PB6,61,0.902402,PB6_T9
PB6_T9,PB6,61,0.902402,PB6_T8
BB10_T10,BB10,62,1.0,PB7_T10
BB10_T11,BB10,62,1.0,PB7_T11
BB10_T12,BB10,62,1.0,PB7_T12
PB14_T10,PB14,62,0.915067,PB14_T11
PB14_T11,PB14,62,0.915067,PB14_T10
PB14_T9,PB14,62,0.89956,PB3_T8
PB15_T10,PB15,62,1.0,PB17_T10
PB15_T11,PB15,62,1.0,PB17_T11
PB15_T12,PB15,62,1.0,PB17_T12
PB16_T10,PB16,62,0.998843,PB17_T10
PB16_T11,PB16,62,0.999036,PB15_T11
PB16_T12,PB16,62,0.999519,PB15_T12
PB17_T10,PB17,62,1.0,PB15_T10
PB17_T11,PB17,62,1.0,PB15_T11
PB17_T12,PB17,62,1.0,PB15_T12
PB18_T10,PB18,62,0.9976,BB10_T10
PB18_T11,PB18,62,0.997602,PB7_T11
PB18_T12,PB18,62,0.996792,PB7_T12
PB3_T10,PB3,62,0.991832,PB3_T11
PB3_T11,PB3,62,0.991832,PB3_T10
PB3_T8,PB3,62,0.979618,PB3_T9
PB3_T9,PB3,62,0.979618,PB3_T8
PB7_T10,PB7,62,1.0,BB10_T10
PB7_T11,PB7,62,1.0,BB10_T11
PB7_T12,PB7,62,1.0,BB10_T12
PB8_T10,PB8,62,0.988799,PB8_T11
PB8_T11,PB8,62,0.988799,PB8_T10
PB8_T12,PB8,62,0.959962,PB7_T12
PB12_T12,PB12,63,1.0,PB5_T12
PB13_T12,PB13,63,0.999996,PB12_T12
PB14_T12,PB14,63,0.881611,PB1_T12
PB1_T12,PB1,63,1.0,PB4_T12
PB4_T12,PB4,63,1.0,PB1_T12
PB5_T12,PB5,63,1.0,PB12_T12
PB6_T10,PB6,63,0.98054,PB6_T11
PB6_T11,PB6,63,0.98054,PB6_T10
PB2_T12,PB2,64,0.687162,PB12_T12
PB2_T5,PB2,65,0.707165,PB13_T5
PB2_T6,PB2,66,0.704194,PB13_T6
BB2_T5,BB2,67,0.625817,BB2_T6
BB2_T6,BB2,68,0.625817,BB2_T5
BB2_T3,BB2,69,0.603165,BB2_T4
BB2_T4,BB2,70,0.62434,BB2_T5
BB23,BB23,71,0.970921,PB6_T2
BB24,BB24,71,0.955038,BB23
BB3_T4,BB3,71,0.93579,BB3_T5
PB12_T3,PB12,71,1.0,PB5_T3
PB13_T3,PB13,71,1.0,PB5_T3
PB1_T3,PB1,71,1.0,PB4_T3
PB4_T3,PB4,71,1.0,PB1_T3
PB5_T3,PB5,71,1.0,PB12_T3
PB6_T2,PB6,71,0.970921,BB23
BB10_T3,BB10,72,1.0,PB7_T3
BB10_T4,BB10,72,1.0,PB7_T4
BB10_T5,BB10,72,1.0,PB7_T5
BB10_T6,BB10,72,1.0,PB7_T6
PB14_T3,PB14,72,0.880704,PB3_T3
PB14_T4,PB14,72,0.885619,PB3_T4
PB15_T3,PB15,72,1.0,PB17_T3
PB15_T4,PB15,72,1.0,PB17_T4
PB15_T5,PB15,72,1.0,PB17_T5
PB15_T6,PB15,72,1.0,PB17_T6
PB16_T3,PB16,72,0.95172,PB17_T3
PB16_T4,PB16,72,0.974761,PB15_T4
PB16_T5,PB16,72,0.982736,PB17_T5
PB16_T6,PB16,72,0.986801,PB15_T6
PB17_T3,PB17,72,1.0,PB15_T3
PB17_T4,PB17,72,1.0,PB15_T4
PB17_T5,PB17,72,1.0,PB15_T5
PB17_T6,PB17,72,1.0,PB15_T6
PB18_T3,PB18,72,0.995419,PB7_T3
PB18_T4,PB18,72,0.996235,PB7_T4
PB18_T5,PB18,72,0.996579,PB7_T5
PB18_T6,PB18,72,0.996648,BB10_T6
PB3_T3,PB3,72,0.941356,PB3_T4
PB7_T3,PB7,72,1.0,BB10_T3
PB7_T4,PB7,72,1.0,BB10_T4
PB7_T5,PB7,72,1.0,BB10_T5
PB7_T6,PB7,72,1.0,BB10_T6
PB8_T3,PB8,72,0.955481,BB10_T3
PB8_T4,PB8,72,0.958041,BB10_T4
PB8_T5,PB8,72,0.972026,PB8_T6
PB8_T6,PB8,72,0.972026,PB8_T5
BB3_T5,BB3,73,0.963192,BB3_T6
BB3_T6,BB3,73,0.963192,BB3_T5
BB3_T7,BB3,73,0.874064,BB3_T8
PB12_T4,PB12,73,1.0,PB5_T4
PB12_T5,PB12,73,1.0,PB5_T5
PB12_T6,PB12,73,1.0,PB5_T6
PB13_T4,PB13,73,1.0,PB12_T4
PB13_T5,PB13,73,1.0,PB12_T5
PB13_T6,PB13,73,1.0,PB12_T6
PB1_T4,PB1,73,1.0,PB4_T4
PB1_T5,PB1,73,1.0,PB4_T5
PB1_T6,PB1,73,1.0,PB4_T6
PB4_T4,PB4,73,1.0,PB1_T4
PB4_T5,PB4,73,1.0,PB1_T5
PB4_T6,PB4,73,1.0,PB1_T6
PB5_T4,PB5,73,1.0,PB12_T4
PB5_T5,PB5,73,1.0,PB12_T5
PB5_T6,PB5,73,1.0,PB12_T6
PB6_T3,PB6,73,0.884788,PB12_T4
PB6_T4,PB6,73,0.902894,PB6_T5
BB3_T8,BB3,74,0.945377,BB3_T9
BB3_T9,BB3,74,0.945377,BB3_T8
PB12_T7,PB12,74,1.0,PB5_T7
PB13_T7,PB13,74,0.999999,PB5_T7
PB1_T7,PB1,74,1.0,PB4_T7
PB4_T7,PB4,74,1.0,PB1_T7
PB5_T7,PB5,74,1.0,PB12_T7
PB6_T5,PB6,74,0.950122,PB6_T6
PB6_T6,PB6,74,0.950122,PB6_T5
BB10_T7,BB10,75,1.0,PB7_T7
BB10_T8,BB10,75,1.0,PB7_T8
BB10_T9,BB10,75,1.0,PB7_T9
PB14_T5,PB14,75,0.892492,PB3_T4
PB14_T6,PB14,75,0.897257,PB3_T5
PB14_T7,PB14,75,0.892698,PB3_T7
PB14_T8,PB14,75,0.893162,PB3_T8
PB15_T7,PB15,75,1.0,PB17_T7
PB15_T8,PB15,75,1.0,PB17_T8
PB15_T9,PB15,75,1.0,PB17_T9
PB16_T7,PB16,75,0.994597,PB15_T7
PB16_T8,PB16,75,0.997224,PB15_T8
PB16_T9,PB16,75,0.998123,PB15_T9
PB17_T7,PB17,75,1.0,PB15_T7
PB17_T8,PB17,75,1.0,PB15_T8
PB17_T9,PB17,75,1.0,PB15_T9
PB18_T7,PB18,75,0.997108,BB10_T7
PB18_T8,PB18,75,0.997414,BB10_T8
PB18_T9,PB18,75,0.997398,BB10_T9
PB3_T4,PB3,75,0.979598,PB3_T5
PB3_T5,PB3,75,0.989703,PB3_T6
PB3_T6,PB3,75,0.989703,PB3_T5
PB3_T7,PB3,75,0.942814,PB7_T9
PB7_T7,PB7,75,1.0,BB10_T7
PB7_T8,PB7,75,1.0,BB10_T8
PB7_T9,PB7,75,1.0,BB10_T9
PB8_T7,PB8,75,0.961318,PB7_T7
PB8_T8,PB8,75,0.962386,PB7_T8
PB8_T9,PB8,75,0.962027,BB10_T9
PB2_T7,PB2,76,0.707981,PB1_T7
PB2_T4,PB2,77,0.705792,PB1_T4
VB6_T10,VB6,78,0.998813,VB6_T11
VB6_T11,VB6,78,0.998813,VB6_T10
VB6_T12,VB6,78,0.989675,VB6_T11
VB6_T3,VB6,78,0.964613,VB6_T4
VB6_T4,VB6,78,0.988859,VB6_T5
VB6_T5,VB6,78,0.994005,VB6_T6
VB6_T6,VB6,78,0.994005,VB6_T5
VB6_T7,VB6,78,0.990371,VB6_T8
VB6_T8,VB6,78,0.995644,VB6_T9
VB6_T9,VB6,78,0.995644,VB6_T8
V3_T1,V3,79,0.928495,V4_T1
V3_T2,V3,79,0.92772,V4_T2
V4_T1,V4,79,0.928495,V3_T1
V4_T2,V4,79,0.92772,V3_T2
PV3_B1_T1,PV3,80,0.990533,PV3_B2_T1
PV3_B1_T2,PV3,80,0.991055,PV3_B2_T2
PV3_B2_T1,PV3,80,0.990533,PV3_B1_T1
PV3_B2_T2,PV3,80,0.991055,PV3_B1_T2
PV3_B3_T1,PV3,80,0.969696,PV3_B2_T1
PV3_B3_T2,PV3,80,0.970126,PV3_B2_T2
PV3_B4_T1,PV3,80,0.934929,PV3_B4_T2
PV3_B4_T2,PV3,80,0.934929,PV3_B4_T1
PV3_B4_T10,PV3,81,0.998274,PV3_B4_T11
PV3_B4_T11,PV3,81,0.998274,PV3_B4_T10
PV3_B4_T12,PV3,81,0.989253,PV3_B4_T11
PV3_B4_T3,PV3,81,0.955573,PV3_B4_T4
PV3_B4_T4,PV3,81,0.981709,PV3_B4_T5
PV3_B4_T5,PV3,81,0.989853,PV3_B4_T6
PV3_B4_T6,PV3,81,0.989853,PV3_B4_T5
PV3_B4_T7,PV3,81,0.974114,PV3_B4_T8
PV3_B4_T8,PV3,81,0.993147,PV3_B4_T9
PV3_B4_T9,PV3,81,0.993147,PV3_B4_T8
PV3_B1_T10,PV3,82,0.998046,PV3_B1_T11
PV3_B1_T11,PV3,82,0.998046,PV3_B1_T10
PV3_B1_T12,PV3,82,0.995278,PV3_B2_T12
PV3_B1_T3,PV3,82,0.992068,PV3_B2_T3
PV3_B1_T4,PV3,82,0.992743,PV3_B2_T4
PV3_B1_T5,PV3,82,0.993128,PV3_B2_T5
PV3_B1_T6,PV3,82,0.993591,PV3_B2_T6
PV3_B1_T7,PV3,82,0.994432,PV3_B2_T7
PV3_B1_T8,PV3,82,0.994905,PV3_B2_T8
PV3_B1_T9,PV3,82,0.995079,PV3_B2_T9
PV3_B2_T10,PV3,82,0.998083,PV3_B2_T11
PV3_B2_T11,PV3,82,0.998083,PV3_B2_T10
PV3_B2_T12,PV3,82,0.995278,PV3_B1_T12
PV3_B2_T3,PV3,82,0.992068,PV3_B1_T3
PV3_B2_T4,PV3,82,0.992743,PV3_B1_T4
PV3_B2_T5,PV3,82,0.993128,PV3_B1_T5
PV3_B2_T6,PV3,82,0.993591,PV3_B1_T6
PV3_B2_T7,PV3,82,0.994432,PV3_B1_T7
PV3_B2_T8,PV3,82,0.994905,PV3_B1_T8
PV3_B2_T9,PV3,82,0.995079,PV3_B1_T9
PV3_B3_T10,PV3,82,0.998154,PV3_B3_T11
PV3_B3_T11,PV3,82,0.998154,PV3_B3_T10
PV3_B3_T12,PV3,82,0.990265,PV3_B3_T11
PV3_B3_T3,PV3,82,0.972006,PV3_B2_T3
PV3_B3_T4,PV3,82,0.978916,PV3_B3_T5
PV3_B3_T5,PV3,82,0.988265,PV3_B3_T6
PV3_B3_T6,PV3,82,0.988265,PV3_B3_T5
PV3_B3_T7,PV3,82,0.97891,PV3_B2_T7
PV3_B3_T8,PV3,82,0.992982,PV3_B3_T9
PV3_B3_T9,PV3,82,0.992982,PV3_B3_T8
V1_T1,V1,83,0.889564,V1_T2
V1_T10,V1,83,0.997597,V1_T11
V1_T11,V1,83,0.997597,V1_T10
V1_T12,V1,83,0.996601,V4_T12
V1_T2,V1,83,0.889564,V1_T1
V1_T3,V1,83,0.952754,V1_T4
V1_T4,V1,83,0.963204,V1_T5
V1_T5,V1,83,0.985848,V1_T6
V1_T6,V1,83,0.985848,V1_T5
V1_T7,V1,83,0.976809,V1_T8
V1_T8,V1,83,0.98638,V1_T9
V1_T9,V1,83,0.98638,V1_T8
V4_T10,V4,83,0.997918,V4_T11
V4_T11,V4,83,0.997918,V4_T10
V4_T12,V4,83,0.996601,V1_T12
V4_T7,V4,83,0.974674,V4_T8
V4_T8,V4,83,0.990541,V4_T9
V4_T9,V4,83,0.990541,V4_T8
V5,V5,83,0.88061,V4_T12
V3_T10,V3,84,0.985448,V3_T11
V3_T11,V3,84,0.985448,V3_T10
V3_T12,V3,84,0.946146,V3_T11
V3_T3,V3,84,0.926896,V3_T4
V3_T4,V3,84,0.961207,V3_T5
V3_T5,V3,84,0.973746,V3_T6
V3_T6,V3,84,0.973746,V3_T5
V3_T7,V3,84,0.931639,V3_T8
V3_T8,V3,84,0.963504,V3_T9
V3_T9,V3,84,0.963504,V3_T8
V4_T3,V4,84,0.943076,V4_T4
V4_T4,V4,84,0.977645,V4_T5
V4_T5,V4,84,0.987717,V4_T6
V4_T6,V4,84,0.987717,V4_T5
PV3_B5_T1,PV3,85,0.933306,PV3_B5_T2
PV3_B5_T2,PV3,85,0.933306,PV3_B5_T1
PV3_B6_T1,PV3,85,0.969897,PV3_B7_T1
PV3_B6_T2,PV3,85,0.971145,PV3_B7_T2
PV3_B7_T1,PV3,85,0.969897,PV3_B6_T1
PV3_B7_T2,PV3,85,0.971145,PV3_B6_T2
PV3_B5_T10,PV3,86,0.998162,PV3_B5_T11
PV3_B5_T11,PV3,86,0.998162,PV3_B5_T10
PV3_B5_T12,PV3,86,0.985191,PV3_B5_T11
PV3_B5_T3,PV3,86,0.958044,PV3_B5_T4
PV3_B5_T4,PV3,86,0.983909,PV3_B5_T5
PV3_B5_T5,PV3,86,0.990416,PV3_B5_T6
PV3_B5_T6,PV3,86,0.990416,PV3_B5_T5
PV3_B5_T7,PV3,86,0.979599,PV3_B5_T8
PV3_B5_T8,PV3,86,0.993066,PV3_B5_T9
PV3_B5_T9,PV3,86,0.993066,PV3_B5_T8
PV3_B6_T10,PV3,86,0.997947,PV3_B6_T11
PV3_B6_T11,PV3,86,0.997947,PV3_B6_T10
PV3_B6_T12,PV3,86,0.98545,PV3_B6_T11
PV3_B6_T3,PV3,86,0.97236,PV3_B7_T3
PV3_B6_T4,PV3,86,0.981869,PV3_B6_T5
PV3_B6_T5,PV3,86,0.988687,PV3_B6_T6
PV3_B6_T6,PV3,86,0.988687,PV3_B6_T5
PV3_B6_T7,PV3,86,0.977293,PV3_B6_T8
PV3_B6_T8,PV3,86,0.992788,PV3_B6_T9
PV3_B6_T9,PV3,86,0.992788,PV3_B6_T8
PV3_B7_T10,PV3,86,0.997906,PV3_B7_T11
PV3_B7_T11,PV3,86,0.997906,PV3_B7_T10
PV3_B7_T12,PV3,86,0.986494,PV3_B7_T11
PV3_B7_T3,PV3,86,0.97236,PV3_B6_T3
PV3_B7_T4,PV3,86,0.980508,PV3_B7_T5
PV3_B7_T5,PV3,86,0.987868,PV3_B7_T6
PV3_B7_T6,PV3,86,0.987868,PV3_B7_T5
PV3_B7_T7,PV3,86,0.975478,PV3_B7_T8
PV3_B7_T8,PV3,86,0.992738,PV3_B7_T9
PV3_B7_T9,PV3,86,0.992738,PV3_B7_T8
BB20,BB20,87,0.96189,BB22
BB22,BB22,87,0.96189,BB20
BB11_T1,BB11,88,0.999992,BB7_T1
BB11_T10,BB11,88,0.999999,PB10_T10
BB11_T11,BB11,88,0.999999,PB10_T11
BB11_T12,BB11,88,0.999999,PB10_T12
BB11_T2,BB11,88,0.999989,PB10_T2
BB11_T3,BB11,88,0.999993,PB10_T3
BB11_T4,BB11,88,0.999995,PB10_T4
BB11_T5,BB11,88,0.999996,PB10_T5
BB11_T6,BB11,88,0.999996,PB10_T6
BB11_T7,BB11,88,0.999998,PB10_T7
BB11_T8,BB11,88,0.999998,PB10_T8
BB11_T9,BB11,88,0.999999,PB10_T9
BB12_T1,BB12,88,0.999992,BB8_T1
BB12_T10,BB12,88,0.999999,PB11_T10
BB12_T11,BB12,88,0.999999,PB11_T11
BB12_T12,BB12,88,0.999999,PB11_T12
BB12_T2,BB12,88,0.999989,PB11_T2
BB12_T3,BB12,88,0.999993,PB11_T3
BB12_T4,BB12,88,0.999995,PB11_T4
BB12_T5,BB12,88,0.999996,PB11_T5
BB12_T6,BB12,88,0.999996,PB11_T6
BB12_T7,BB12,88,0.999998,PB11_T7
BB12_T8,BB12,88,0.999998,PB11_T8
BB12_T9,BB12,88,0.999999,PB11_T9
BB13_T1,BB13,88,1.0,BB5_T1
BB13_T10,BB13,88,1.0,BB5_T10
BB13_T11,BB13,88,1.0,BB5_T11
BB13_T12,BB13,88,1.0,BB5_T12
