day,horizon,n_obs,actual_1sigma,expected_1sigma,ratio_1sigma,actual_2sigma,expected_2sigma,ratio_2sigma,actual_3sigma,expected_3sigma,ratio_3sigma,actual_4sigma,expected_4sigma,ratio_4sigma,actual_5sigma,expected_5sigma,ratio_5sigma
10,5min,23040,6084,7310.83,0.83,1696,1048.33,1.62,135,62.2,2.17,0,1.46,0.0,0,0.01,0.0
11,1min,23280,6793,7386.99,0.92,1193,1059.25,1.13,133,62.85,2.12,17,1.47,11.53,0,0.01,0.0
11,5min,23040,7464,7310.83,1.02,940,1048.33,0.9,70,62.2,1.13,0,1.46,0.0,0,0.01,0.0
12,1min,23280,6684,7386.99,0.9,1118,1059.25,1.06,160,62.85,2.55,33,1.47,22.38,22,0.01,1648.37
12,5min,23040,7679,7310.83,1.05,851,1048.33,0.81,78,62.2,1.25,3,1.46,2.06,0,0.01,0.0
13,1min,23280,5662,7386.99,0.77,1414,1059.25,1.33,356,62.85,5.66,62,1.47,42.04,2,0.01,149.85
13,5min,23040,5680,7310.83,0.78,1580,1048.33,1.51,276,62.2,4.44,3,1.46,2.06,0,0.01,0.0
14,1min,23280,4076,7386.99,0.55,1606,1059.25,1.52,600,62.85,9.55,178,1.47,120.71,32,0.01,2397.63
14,5min,23040,4636,7310.83,0.63,1390,1048.33,1.33,398,62.2,6.4,193,1.46,132.25,75,0.01,5677.99
15,1min,23280,6029,7386.99,0.82,1268,1059.25,1.2,259,62.85,4.12,66,1.47,44.76,2,0.01,149.85
15,5min,23040,6832,7310.83,0.93,1317,1048.33,1.26,107,62.2,1.72,0,1.46,0.0,0,0.01,0.0
16,1min,23280,6131,7386.99,0.83,1322,1059.25,1.25,255,62.85,4.06,40,1.47,27.13,5,0.01,374.63
16,5min,23040,6739,7310.83,0.92,1236,1048.33,1.18,180,62.2,2.89,27,1.46,18.5,0,0.01,0.0
17,1min,23280,6611,7386.99,0.89,1115,1059.25,1.05,221,62.85,3.52,15,1.47,10.17,1,0.01,74.93
17,5min,23040,7392,7310.83,1.01,1066,1048.33,1.02,23,62.2,0.37,0,1.46,0.0,0,0.01,0.0
18,1min,23280,6967,7386.99,0.94,1189,1059.25,1.12,124,62.85,1.97,9,1.47,6.1,0,0.01,0.0
18,5min,23040,7297,7310.83,1.0,1095,1048.33,1.04,36,62.2,0.58,0,1.46,0.0,0,0.01,0.0
19,1min,23280,6099,7386.99,0.83,1255,1059.25,1.18,256,62.85,4.07,73,1.47,49.5,12,0.01,899.11
19,5min,23040,6838,7310.83,0.94,1169,1048.33,1.12,224,62.2,3.6,1,1.46,0.69,0,0.01,0.0
20,1min,23280,6028,7386.99,0.82,1336,1059.25,1.26,285,62.85,4.53,39,1.47,26.45,2,0.01,149.85
20,5min,23040,5753,7310.83,0.79,1200,1048.33,1.14,364,62.2,5.85,100,1.46,68.52,0,0.01,0.0
21,1min,23280,6401,7386.99,0.87,1420,1059.25,1.34,205,62.85,3.26,16,1.47,10.85,1,0.01,74.93
21,5min,23040,6423,7310.83,0.88,1410,1048.33,1.35,115,62.2,1.85,0,1.46,0.0,0,0.01,0.0
22,1min,23280,5600,7386.99,0.76,1270,1059.25,1.2,312,62.85,4.96,94,1.47,63.75,36,0.01,2697.34
22,5min,23040,6391,7310.83,0.87,1046,1048.33,1.0,299,62.2,4.81,30,1.46,20.56,0,0.01,0.0
23,1min,23280,5942,7386.99,0.8,1108,1059.25,1.05,347,62.85,5.52,72,1.47,48.83,19,0.01,1423.59
23,5min,23040,6891,7310.83,0.94,1062,1048.33,1.01,234,62.2,3.76,25,1.46,17.13,0,0.01,0.0
24,1min,23280,5832,7386.99,0.79,1190,1059.25,1.12,301,62.85,4.79,73,1.47,49.5,28,0.01,2097.93
24,5min,23040,6537,7310.83,0.89,1182,1048.33,1.13,170,62.2,2.73,0,1.46,0.0,0,0.01,0.0
25,1min,23280,6436,7386.99,0.87,1216,1059.25,1.15,264,62.85,4.2,34,1.47,23.06,0,0.01,0.0
25,5min,23040,6471,7310.83,0.89,1134,1048.33,1.08,240,62.2,3.86,14,1.46,9.59,0,0.01,0.0
26,1min,23280,6579,7386.99,0.89,1279,1059.25,1.21,236,62.85,3.75,1,1.47,0.68,0,0.01,0.0
26,5min,23040,6405,7310.83,0.88,1192,1048.33,1.14,152,62.2,2.44,39,1.46,26.72,0,0.01,0.0
27,1min,23280,6462,7386.99,0.87,1174,1059.25,1.11,205,62.85,3.26,36,1.47,24.41,7,0.01,524.48
27,5min,23040,5983,7310.83,0.82,1266,1048.33,1.21,304,62.2,4.89,54,1.46,37.0,0,0.01,0.0
28,1min,23280,5865,7386.99,0.79,962,1059.25,0.91,216,62.85,3.44,74,1.47,50.18,55,0.01,4120.93
28,5min,23040,5990,7310.83,0.82,1077,1048.33,1.03,262,62.2,4.21,88,1.46,60.3,45,0.01,3406.79
29,1min,23280,5701,7386.99,0.77,1089,1059.25,1.03,349,62.85,5.55,132,1.47,89.52,33,0.01,2472.56
29,5min,23040,5479,7310.83,0.75,1060,1048.33,1.01,258,62.2,4.15,188,1.46,128.82,78,0.01,5905.11
30,1min,23280,6440,7386.99,0.87,1200,1059.25,1.13,246,62.85,3.91,24,1.47,16.28,0,0.01,0.0
30,5min,23040,5838,7310.83,0.8,1461,1048.33,1.39,292,62.2,4.69,0,1.46,0.0,0,0.01,0.0
31,1min,23280,6081,7386.99,0.82,1288,1059.25,1.22,242,62.85,3.85,75,1.47,50.86,23,0.01,1723.3
31,5min,23040,6765,7310.83,0.93,1233,1048.33,1.18,159,62.2,2.56,0,1.46,0.0,0,0.01,0.0
32,1min,23280,6391,7386.99,0.87,1180,1059.25,1.11,237,62.85,3.77,51,1.47,34.59,2,0.01,149.85
32,5min,23040,6841,7310.83,0.94,1274,1048.33,1.22,114,62.2,1.83,0,1.46,0.0,0,0.01,0.0
33,1min,23280,6730,7386.99,0.91,1056,1059.25,1.0,151,62.85,2.4,37,1.47,25.09,26,0.01,1948.08
33,5min,23040,7480,7310.83,1.02,993,1048.33,0.95,64,62.2,1.03,0,1.46,0.0,0,0.01,0.0
34,1min,23280,6022,7386.99,0.82,1324,1059.25,1.25,255,62.85,4.06,57,1.47,38.65,4,0.01,299.7
34,5min,23040,7045,7310.83,0.96,1320,1048.33,1.26,80,62.2,1.29,0,1.46,0.0,0,0.01,0.0
35,1min,23280,6244,7386.99,0.85,1094,1059.25,1.03,259,62.85,4.12,100,1.47,67.81,22,0.01,1648.37
35,5min,23040,6995,7310.83,0.96,1108,1048.33,1.06,117,62.2,1.88,0,1.46,0.0,0,0.01,0.0
36,1min,23280,6286,7386.99,0.85,1169,1059.25,1.1,249,62.85,3.96,59,1.47,40.01,15,0.01,1123.89
36,5min,23040,5704,7310.83,0.78,1358,1048.33,1.3,423,62.2,6.8,38,1.46,26.04,0,0.01,0.0
37,1min,23280,5830,7386.99,0.79,908,1059.25,0.86,224,62.85,3.56,86,1.47,58.32,59,0.01,4420.64
37,5min,23040,6365,7310.83,0.87,1069,1048.33,1.02,226,62.2,3.63,96,1.46,65.78,12,0.01,908.48
38,1min,23280,6589,7386.99,0.89,1100,1059.25,1.04,223,62.85,3.55,70,1.47,47.47,21,0.01,1573.45
38,5min,23040,6465,7310.83,0.88,1376,1048.33,1.31,171,62.2,2.75,0,1.46,0.0,0,0.01,0.0
39,1min,23280,6166,7386.99,0.83,1259,1059.25,1.19,263,62.85,4.18,59,1.47,40.01,24,0.01,1798.22
39,5min,23040,5961,7310.83,0.82,1244,1048.33,1.19,396,62.2,6.37,5,1.46,3.43,0,0.01,0.0
40,1min,23280,5516,7386.99,0.75,1113,1059.25,1.05,334,62.85,5.31,149,1.47,101.04,46,0.01,3446.6
40,5min,23040,6577,7310.83,0.9,1105,1048.33,1.05,198,62.2,3.18,51,1.46,34.95,5,0.01,378.53
41,1min,23280,6563,7386.99,0.89,1213,1059.25,1.15,217,62.85,3.45,45,1.47,30.52,15,0.01,1123.89
41,5min,23040,6909,7310.83,0.95,1131,1048.33,1.08,53,62.2,0.85,0,1.46,0.0,0,0.01,0.0
42,1min,23280,6418,7386.99,0.87,1101,1059.25,1.04,212,62.85,3.37,85,1.47,57.64,11,0.01,824.19
42,5min,23040,7393,7310.83,1.01,910,1048.33,0.87,72,62.2,1.16,5,1.46,3.43,0,0.01,0.0
43,1min,23280,5946,7386.99,0.8,1239,1059.25,1.17,312,62.85,4.96,109,1.47,73.92,21,0.01,1573.45
43,5min,23040,5456,7310.83,0.75,1062,1048.33,1.01,326,62.2,5.24,152,1.46,104.15,17,0.01,1287.01
44,1min,23280,6459,7386.99,0.87,1223,1059.25,1.15,211,62.85,3.36,29,1.47,19.67,2,0.01,149.85
44,5min,23040,6273,7310.83,0.86,1127,1048.33,1.08,196,62.2,3.15,43,1.46,29.46,0,0.01,0.0
45,1min,23280,6075,7386.99,0.82,1186,1059.25,1.12,226,62.85,3.6,58,1.47,39.33,25,0.01,1873.15
45,5min,23040,7297,7310.83,1.0,1072,1048.33,1.02,81,62.2,1.3,17,1.46,11.65,0,0.01,0.0
46,1min,23280,5729,7386.99,0.78,1177,1059.25,1.11,364,62.85,5.79,103,1.47,69.85,24,0.01,1798.22
46,5min,23040,6570,7310.83,0.9,852,1048.33,0.81,293,62.2,4.71,30,1.46,20.56,0,0.01,0.0
47,1min,23280,6349,7386.99,0.86,1255,1059.25,1.18,185,62.85,2.94,65,1.47,44.08,33,0.01,2472.56
47,5min,23040,6763,7310.83,0.93,1247,1048.33,1.19,47,62.2,0.76,0,1.46,0.0,0,0.01,0.0
48,1min,23280,6579,7386.99,0.89,1070,1059.25,1.01,192,62.85,3.05,23,1.47,15.6,6,0.01,449.56
48,5min,23040,7114,7310.83,0.97,1167,1048.33,1.11,117,62.2,1.88,5,1.46,3.43,0,0.01,0.0
49,1min,23280,5609,7386.99,0.76,1237,1059.25,1.17,364,62.85,5.79,87,1.47,59.0,31,0.01,2322.71
49,5min,23040,5819,7310.83,0.8,1287,1048.33,1.23,333,62.2,5.35,48,1.46,32.89,0,0.01,0.0
50,1min,23280,6404,7386.99,0.87,1091,1059.25,1.03,245,62.85,3.9,75,1.47,50.86,5,0.01,374.63
50,5min,23040,6359,7310.83,0.87,1214,1048.33,1.16,188,62.2,3.02,0,1.46,0.0,0,0.01,0.0
51,1min,23280,4519,7386.99,0.61,1293,1059.25,1.22,379,62.85,6.03,136,1.47,92.23,64,0.01,4795.27
51,5min,23040,4507,7310.83,0.62,1193,1048.33,1.14,617,62.2,9.92,204,1.46,139.78,48,0.01,3633.91
52,1min,23280,5383,7386.99,0.73,1313,1059.25,1.24,417,62.85,6.63,122,1.47,82.73,23,0.01,1723.3
52,5min,23040,5244,7310.83,0.72,1592,1048.33,1.52,320,62.2,5.14,34,1.46,23.3,0,0.01,0.0
53,1min,23280,6332,7386.99,0.86,1275,1059.25,1.2,199,62.85,3.17,38,1.47,25.77,7,0.01,524.48
53,5min,23040,6753,7310.83,0.92,1271,1048.33,1.21,131,62.2,2.11,0,1.46,0.0,0,0.01,0.0
54,1min,23280,5017,7386.99,0.68,1413,1059.25,1.33,485,62.85,7.72,97,1.47,65.78,8,0.01,599.41
54,5min,23040,4809,7310.83,0.66,1347,1048.33,1.28,336,62.2,5.4,228,1.46,156.23,85,0.01,6435.05
55,1min,23280,6317,7386.99,0.86,1286,1059.25,1.21,205,62.85,3.26,46,1.47,31.19,20,0.01,1498.52
55,5min,23040,7235,7310.83,0.99,1060,1048.33,1.01,21,62.2,0.34,0,1.46,0.0,0,0.01,0.0
56,1min,23280,4781,7386.99,0.65,1084,1059.25,1.02,277,62.85,4.41,154,1.47,104.43,113,0.01,8466.64
56,5min,23040,5121,7310.83,0.7,1303,1048.33,1.24,514,62.2,8.26,123,1.46,84.28,11,0.01,832.77
57,1min,23280,5864,7386.99,0.79,1251,1059.25,1.18,298,62.85,4.74,43,1.47,29.16,6,0.01,449.56
57,5min,23040,5791,7310.83,0.79,1361,1048.33,1.3,247,62.2,3.97,58,1.46,39.74,1,0.01,75.71
58,1min,23280,6083,7386.99,0.82,1337,1059.25,1.26,240,62.85,3.82,30,1.47,20.34,0,0.01,0.0
58,5min,23040,6539,7310.83,0.89,1455,1048.33,1.39,150,62.2,2.41,0,1.46,0.0,0,0.01,0.0
59,1min,23280,6367,7386.99,0.86,1297,1059.25,1.22,242,62.85,3.85,34,1.47,23.06,0,0.01,0.0
59,5min,23040,6187,7310.83,0.85,1209,1048.33,1.15,259,62.2,4.16,11,1.46,7.54,0,0.01,0.0
60,1min,17220,2403,5464.09,0.44,639,783.51,0.82,298,46.49,6.41,206,1.09,188.86,138,0.01,13978.53
60,5min,16980,2584,5387.93,0.48,724,772.59,0.94,387,45.84,8.44,218,1.08,202.69,104,0.01,10683.45
61,1min,17076,4058,5418.39,0.75,845,776.96,1.09,221,46.1,4.79,71,1.08,65.64,30,0.01,3064.44
61,5min,16836,3589,5342.24,0.67,1071,766.04,1.4,348,45.45,7.66,39,1.07,36.57,0,0.01,0.0
62,1min,14772,3691,4687.31,0.79,795,672.13,1.18,160,39.88,4.01,37,0.94,39.54,3,0.01,354.24
62,5min,14532,4364,4611.16,0.95,750,661.21,1.13,110,39.23,2.8,0,0.92,0.0,0,0.01,0.0
63,1min,14916,3206,4733.0,0.68,786,678.68,1.16,262,40.27,6.51,95,0.94,100.55,49,0.01,5730.06
63,5min,14676,3762,4656.85,0.81,816,667.76,1.22,253,39.62,6.39,6,0.93,6.45,0,0.01,0.0
64,1min,14628,3921,4641.62,0.84,786,665.58,1.18,146,39.49,3.7,11,0.93,11.87,0,0.01,0.0
64,5min,14388,4245,4565.46,0.93,796,654.66,1.22,43,38.84,1.11,5,0.91,5.49,0,0.01,0.0
80,1min,23280,6895,7386.99,0.93,1136,1059.25,1.07,171,62.85,2.72,35,1.47,23.74,2,0.01,149.85
80,5min,23040,6869,7310.83,0.94,1123,1048.33,1.07,196,62.2,3.15,3,1.46,2.06,0,0.01,0.0
81,1min,23280,4672,7386.99,0.63,1376,1059.25,1.3,450,62.85,7.16,137,1.47,92.91,54,0.01,4046.01
81,5min,23040,4451,7310.83,0.61,1090,1048.33,1.04,590,62.2,9.49,244,1.46,167.19,14,0.01,1059.89
82,1min,23280,6362,7386.99,0.86,1154,1059.25,1.09,193,62.85,3.07,40,1.47,27.13,12,0.01,899.11
82,5min,23040,6636,7310.83,0.91,1307,1048.33,1.25,113,62.2,1.82,12,1.46,8.22,0,0.01,0.0
83,1min,23280,6710,7386.99,0.91,1310,1059.25,1.24,162,62.85,2.58,3,1.47,2.03,0,0.01,0.0
83,5min,23040,6667,7310.83,0.91,1132,1048.33,1.08,148,62.2,2.38,0,1.46,0.0,0,0.01,0.0
84,1min,23280,6218,7386.99,0.84,1250,1059.25,1.18,250,62.85,3.98,34,1.47,23.06,6,0.01,449.56
84,5min,23040,6374,7310.83,0.87,1267,1048.33,1.21,189,62.2,3.04,0,1.46,0.0,0,0.01,0.0
85,1min,23280,3878,7386.99,0.52,1449,1059.25,1.37,473,62.85,7.53,167,1.47,113.25,82,0.01,6143.93
85,5min,23040,3715,7310.83,0.51,1383,1048.33,1.32,526,62.2,8.46,260,1.46,178.15,158,0.01,11961.63
